Married_No,Dependents,Credit_History,Property_Area,LoanAmount_t,ApplicantIncome_t,TotalIncome_t,EMI_t,Total_Income_Bins,LoanAmount_per_Total_Income_Bins,Credit_History_Income_Sum_t,Dependents_LoanAmount_Sum_t,LoanAmount_per_Total_Income_t,EMI_per_Loan_Amount_Term_t,Property_Area_LoanAmount_per_Total_Income_mean_t,Loan_Status
1,0,1.0,2,1.4962121232440466,1.6572179228464414,1.716158199133998,2.3090325654635047,2.0,0.0,2.4667873237336684,2.0499227475968644,1.975045460016022,1.0290457857788757,1.568713912764503,1
0,1,1.0,0,1.617343421306539,1.6244449096600213,1.7181596095522786,2.4187642146783688,3.0,1.0,2.4667873237336684,2.0218480199850446,2.141067417744613,1.083886228088156,1.5904974831622867,0
0,0,1.0,2,1.3965515806754751,1.5681358244840409,1.682144889751033,2.2197304218214913,0.0,1.0,2.4667873237336684,2.0499227475968644,2.1657367706679937,0.981998760977649,1.568713912764503,1
0,0,1.0,2,1.5958305809273485,1.5484429871268979,1.7077539018995112,2.399185575096243,2.0,2.0,2.4667873237336684,2.0499227475968644,2.2199418475184927,1.0743553005597626,1.568713912764503,1
1,0,1.0,2,1.649586630126056,1.6606574563081147,1.7174173146517837,2.448178548673541,2.0,2.0,2.4667873237336684,2.0499227475968644,2.2017447303028406,1.0979927136076304,1.568713912764503,1
0,2,1.0,2,1.8624162194667497,1.6468807711880271,1.740218915945011,2.6442960970581586,4.0,3.0,2.4667873237336684,2.0164817982882357,2.2956891400555732,1.1854796889446233,1.568713912764503,1
0,0,1.0,2,1.517958963866847,1.5351076986545098,1.6950798633379942,2.3286397355715325,1.0,2.0,2.4667873237336684,2.0499227475968644,2.2289171382891166,1.0390946206999745,1.568713912764503,1
0,3,0.0,1,1.6875316776756555,1.5697098601790826,1.7134677633085507,2.4828994778453453,2.0,3.0,2.400064482880139,2.002254345411783,2.3109302129550593,1.114313245095394,1.5954912864149136,0
0,2,1.0,2,1.7079879931344195,1.6064766567895963,1.7133959582512934,2.501663596720819,2.0,4.0,2.4667873237336684,2.0164817982882357,2.347506360090145,1.1229835831321184,1.568713912764503,1
0,1,1.0,1,1.9516906407341423,1.7645802579789736,1.7817308116088981,2.7274835160793094,4.0,0.0,2.4667873237336684,2.0218480199850446,1.956685686076681,1.219226414847758,1.5954912864149136,0
0,2,1.0,2,1.4161650806831194,1.576659772391679,1.6957549488398944,2.237231673582176,1.0,1.0,2.4667873237336684,2.0164817982882357,2.0582985032986874,0.991376768768086,1.568713912764503,1
0,2,1.0,2,1.5637826274097146,1.5441591704439417,1.7012077503631804,2.3700900792498802,1.0,2.0,2.4667873237336684,2.0164817982882357,2.238639652798744,1.0599851079864087,1.568713912764503,1
0,2,1.0,2,1.7661057888493454,1.5713089547176828,1.7473338782998267,2.555143741013302,4.0,1.0,2.4667873237336684,2.0164817982882357,2.0566328097197912,1.1471191583848819,1.568713912764503,1
1,0,1.0,0,1.5787328161314984,1.5051124369075768,1.7051637028640054,2.383652270582717,1.0,2.0,2.4667873237336684,2.0499227475968644,2.2200541842264667,1.066713955563798,1.5904974831622867,0
0,2,1.0,2,0.9444044480187386,1.4593589119078805,1.6699683505750051,1.827837716164233,0.0,0.0,2.4667873237336684,2.0164817982882357,1.6339551611897916,0.9403423770523525,1.568713912764503,1
1,0,1.0,2,1.6094379124341003,1.634767331544592,1.707845223587444,2.4115650856066275,2.0,2.0,2.4667873237336684,2.0499227475968644,2.241693350192229,1.0803947553347852,1.568713912764503,1
1,1,0.0,2,1.535056728662697,1.592117237825826,1.6915799997075425,2.34408449065432,0.0,3.0,2.400064482880139,2.0218480199850446,2.2963869978965588,1.1069018411871654,1.568713912764503,1
1,0,0.0,2,1.4435777800954437,1.588905177954191,1.6903287427545335,2.2617535398560733,0.0,1.0,2.400064482880139,2.0499227475968644,2.1571314910502677,1.0043907493955406,1.568713912764503,0
0,0,1.0,0,1.630116376073918,1.6330491493310573,1.7072021431403475,2.4304065661492618,2.0,3.0,2.4667873237336684,2.0499227475968644,2.2840327429499028,1.089500269219382,1.5904974831622867,0
0,0,1.0,2,1.5816440427877498,1.5493039920339342,1.718232368082295,2.386295398238124,3.0,1.0,2.4667873237336684,2.0499227475968644,2.0837326720511564,1.0680191481605386,1.568713912764503,1
0,0,0.0,2,1.548130299713791,1.6937574327976759,1.7293452566218401,2.35591123472368,3.0,0.0,2.400064482880139,2.0499227475968644,1.9195575731726342,1.0528938591078438,1.568713912764503,0
0,1,1.0,2,1.9175242129418777,1.6596412791043458,1.7489828968692056,2.6955870357036806,4.0,3.0,2.4667873237336684,2.0218480199850446,2.28376019230791,1.2065144943273578,1.568713912764503,1
0,0,0.0,1,1.5845300637021213,1.5493039920339342,1.7031661789707735,2.388916340002361,1.0,3.0,2.400064482880139,2.0499227475968644,2.251885427668675,1.0693113842025361,1.5954912864149136,0
